Timestamp,Country,Num_Flights,Num_Covid_Cases
4/6/2021,Malaysia,33,1300
4/6/2021,Mexico,393,4804
4/6/2021,"Moldova, Republic of",1,
4/6/2021,Mongolia,3,0
4/6/2021,Morocco,27,696
4/6/2021,Netherlands,241,5752
4/6/2021,New Caledonia,1,
4/6/2021,New Zealand,454,7
4/6/2021,Norway,151,900
4/6/2021,Pakistan,24,4004
4/6/2021,Panama,81,357
4/6/2021,Peru,90,0
4/6/2021,Philippines,19,9362
4/6/2021,Poland,71,8246
4/6/2021,Portugal,61,874
4/6/2021,Qatar,376,927
4/6/2021,Romania,23,5231
4/6/2021,Russian Federation,923,8206
4/6/2021,Saudi Arabia,105,792
4/6/2021,Serbia,2,4398
4/6/2021,Singapore,114,24
4/6/2021,South Africa,83,437
4/6/2021,Spain,245,6623
4/6/2021,Sri Lanka,16,95
4/6/2021,Suriname,2,10
4/6/2021,Sweden,202,21802
4/6/2021,Switzerland,63,4932
4/6/2021,Syrian Arab Republic,2,
4/6/2021,"Tanzania, United Republic of",12,
4/6/2021,Thailand,51,250
4/6/2021,Tunisia,7,1866
4/6/2021,Turkey,1040,49584
4/6/2021,Ukraine,35,13398
4/6/2021,United Arab Emirates,360,1988
4/6/2021,United Kingdom,110,2404
4/6/2021,United States,8192,62547
4/6/2021,Uzbekistan,31,133
4/6/2021,Vanuatu,1,0
4/6/2021,Vietnam,190,11
4/7/2021,Algeria,23,125
4/7/2021,Angola,1,125
4/7/2021,Argentina,15,22039
4/7/2021,Australia,309,6
4/7/2021,Austria,101,3101
4/7/2021,Azerbaijan,8,2595
4/7/2021,Bahrain,83,1120
4/7/2021,Bangladesh,15,7626
4/7/2021,Belarus,54,1278
4/7/2021,Belgium,87,3539
4/7/2021,Bolivia,2,1076
4/7/2021,Botswana,2,0
4/7/2021,Brazil,287,88696
4/7/2021,Brunei Darussalam,6,
4/7/2021,Bulgaria,11,7560
4/7/2021,Canada,169,7520
4/7/2021,Cape Verde,2,
4/7/2021,Chile,23,5242
4/7/2021,China (People's Republic of),2032,33
4/7/2021,Chinese Taipei,242,0
4/7/2021,Colombia,108,11381
4/7/2021,Croatia,26,1649
4/7/2021,Czech Republic,5,5532
4/7/2021,Egypt,36,783
4/7/2021,El Salvador,12,0
4/7/2021,Ethiopia,61,2163
4/7/2021,Fiji,1,0
4/7/2021,Finland,62,544
4/7/2021,France,354,927
4/7/2021,French Polynesia,4,
4/7/2021,Georgia,3,687
4/7/2021,Germany,710,30377
4/7/2021,Greece,49,3445
4/7/2021,"Hong Kong SAR, China",61,
4/7/2021,Iceland,7,10
4/7/2021,Independent State of Papua New Guinea,2,
4/7/2021,India,241,126789
4/7/2021,Indonesia,42,4860
4/7/2021,"Iran, Islamic Republic of",15,
4/7/2021,Ireland,13,418
4/7/2021,Israel,46,296
4/7/2021,Italy,200,13686
4/7/2021,Jamaica,4,72
4/7/2021,Japan,728,3448
4/7/2021,Jordan,12,5232
4/7/2021,Kazakhstan,95,2802
4/7/2021,Kenya,6,1523
4/7/2021,Korea,359,
4/7/2021,Kuwait,42,1517
4/7/2021,Latvia,35,643
4/7/2021,Lebanon,16,3120
4/7/2021,Libya,4,969
4/7/2021,Luxembourg,67,168
4/7/2021,"Macao SAR, China",27,
4/7/2021,Malaysia,56,1139
4/7/2021,Malta,6,65
4/7/2021,Mauritius,1,9
4/7/2021,Mexico,384,5370
4/7/2021,Morocco,27,663
4/7/2021,Netherlands,254,6430
4/7/2021,New Zealand,404,24
